2025-01-14 14:05:54,339 - INFO - Starting grid search for IDM parameters...
2025-01-14 14:05:55,340 - INFO - Run optimization...
2025-01-14 14:16:16,585 - INFO - Combination: min_gap=1.625, max_acc=1.000, max_dec=4.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.5584
2025-01-14 14:16:18,729 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=4.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.3615
2025-01-14 14:16:20,014 - INFO - Combination: min_gap=1.625, max_acc=1.000, max_dec=4.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=0.9819
2025-01-14 14:16:22,807 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=4.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.7179
2025-01-14 14:16:25,498 - INFO - Combination: min_gap=3.875, max_acc=1.000, max_dec=4.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.3057
2025-01-14 14:16:29,808 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=4.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=1.2183
2025-01-14 14:16:31,697 - INFO - Combination: min_gap=3.875, max_acc=1.000, max_dec=4.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.4333
2025-01-14 14:16:34,465 - INFO - Combination: min_gap=1.625, max_acc=1.000, max_dec=4.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.2969
2025-01-14 14:16:37,366 - INFO - Combination: min_gap=3.875, max_acc=1.000, max_dec=4.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.9000
2025-01-14 14:16:37,592 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=4.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.3206
2025-01-14 14:16:46,529 - INFO - Combination: min_gap=3.875, max_acc=1.000, max_dec=4.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=1.3297
2025-01-14 14:17:04,503 - INFO - Combination: min_gap=5.000, max_acc=1.000, max_dec=4.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.3259
2025-01-14 14:17:08,749 - INFO - Combination: min_gap=3.875, max_acc=1.000, max_dec=4.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.3663
2025-01-14 14:17:39,570 - INFO - Combination: min_gap=5.000, max_acc=1.000, max_dec=4.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.5724
2025-01-14 14:17:55,391 - INFO - Combination: min_gap=0.500, max_acc=1.000, max_dec=5.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.0544
2025-01-14 14:17:56,040 - INFO - Combination: min_gap=5.000, max_acc=1.000, max_dec=4.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=1.0692
2025-01-14 14:17:58,803 - INFO - Combination: min_gap=0.500, max_acc=1.000, max_dec=5.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.2699
2025-01-14 14:18:04,113 - INFO - Combination: min_gap=0.500, max_acc=1.000, max_dec=5.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.4078
2025-01-14 14:18:08,837 - INFO - Combination: min_gap=5.000, max_acc=1.000, max_dec=4.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=1.2836
2025-01-14 14:18:09,561 - INFO - Combination: min_gap=1.625, max_acc=1.000, max_dec=5.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.0822
2025-01-14 14:18:09,814 - INFO - Combination: min_gap=0.500, max_acc=1.000, max_dec=5.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=0.7344
2025-01-14 14:18:16,209 - INFO - Combination: min_gap=1.625, max_acc=1.000, max_dec=5.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.3025
2025-01-14 14:18:19,362 - INFO - Combination: min_gap=1.625, max_acc=1.000, max_dec=5.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.5376
2025-01-14 14:18:22,066 - INFO - Combination: min_gap=5.000, max_acc=1.000, max_dec=4.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.5736
2025-01-14 14:18:23,533 - INFO - Combination: min_gap=1.625, max_acc=1.000, max_dec=5.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=0.8989
2025-01-14 14:18:25,834 - INFO - Combination: min_gap=0.500, max_acc=1.000, max_dec=5.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.1153
2025-01-14 14:18:37,656 - INFO - Combination: min_gap=1.625, max_acc=1.000, max_dec=5.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.2204
2025-01-14 14:18:42,439 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=5.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.1998
2025-01-14 14:18:49,105 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=5.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.3452
2025-01-14 14:19:22,934 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=5.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.6722
2025-01-14 14:19:37,676 - INFO - Combination: min_gap=3.875, max_acc=1.000, max_dec=5.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.2902
2025-01-14 14:19:42,918 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=5.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=1.1238
2025-01-14 14:19:45,347 - INFO - Combination: min_gap=3.875, max_acc=1.000, max_dec=5.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.4157
2025-01-14 14:19:50,498 - INFO - Combination: min_gap=2.750, max_acc=1.000, max_dec=5.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.2661
2025-01-14 14:19:53,459 - INFO - Combination: min_gap=3.875, max_acc=1.000, max_dec=5.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.8424
2025-01-14 14:19:56,064 - INFO - Combination: min_gap=5.000, max_acc=1.000, max_dec=5.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.3140
2025-01-14 14:19:59,534 - INFO - Combination: min_gap=3.875, max_acc=1.000, max_dec=5.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=1.2641
2025-01-14 14:20:01,779 - INFO - Combination: min_gap=5.000, max_acc=1.000, max_dec=5.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.5617
2025-01-14 14:20:07,999 - INFO - Combination: min_gap=3.875, max_acc=1.000, max_dec=5.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.3209
2025-01-14 14:20:11,040 - INFO - Combination: min_gap=5.000, max_acc=1.000, max_dec=5.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=1.0846
2025-01-14 14:20:15,279 - INFO - Combination: min_gap=0.500, max_acc=2.000, max_dec=1.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.0664
2025-01-14 14:20:16,689 - INFO - Combination: min_gap=5.000, max_acc=1.000, max_dec=5.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=1.2872
2025-01-14 14:20:21,002 - INFO - Combination: min_gap=0.500, max_acc=2.000, max_dec=1.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.1713
2025-01-14 14:20:29,938 - INFO - Combination: min_gap=0.500, max_acc=2.000, max_dec=1.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.3108
2025-01-14 14:20:38,075 - INFO - Combination: min_gap=5.000, max_acc=1.000, max_dec=5.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.5315
2025-01-14 14:21:10,150 - INFO - Combination: min_gap=0.500, max_acc=2.000, max_dec=1.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=0.5768
2025-01-14 14:21:20,560 - INFO - Combination: min_gap=1.625, max_acc=2.000, max_dec=1.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.0496
2025-01-14 14:21:24,862 - INFO - Combination: min_gap=1.625, max_acc=2.000, max_dec=1.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.2769
2025-01-14 14:21:25,601 - INFO - Combination: min_gap=0.500, max_acc=2.000, max_dec=1.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.0684
2025-01-14 14:21:32,451 - INFO - Combination: min_gap=1.625, max_acc=2.000, max_dec=1.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.3556
2025-01-14 14:21:37,723 - INFO - Combination: min_gap=2.750, max_acc=2.000, max_dec=1.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.0897
2025-01-14 14:21:38,197 - INFO - Combination: min_gap=1.625, max_acc=2.000, max_dec=1.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=0.7900
2025-01-14 14:21:42,268 - INFO - Combination: min_gap=2.750, max_acc=2.000, max_dec=1.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.3201
2025-01-14 14:21:46,419 - INFO - Combination: min_gap=1.625, max_acc=2.000, max_dec=1.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.2360
2025-01-14 14:21:50,806 - INFO - Combination: min_gap=2.750, max_acc=2.000, max_dec=1.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.4677
2025-01-14 14:21:55,847 - INFO - Combination: min_gap=3.875, max_acc=2.000, max_dec=1.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.2387
2025-01-14 14:22:01,894 - INFO - Combination: min_gap=3.875, max_acc=2.000, max_dec=1.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.3246
2025-01-14 14:22:03,750 - INFO - Combination: min_gap=2.750, max_acc=2.000, max_dec=1.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=1.0318
2025-01-14 14:22:07,205 - INFO - Combination: min_gap=2.750, max_acc=2.000, max_dec=1.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.2691
2025-01-14 14:22:14,319 - INFO - Combination: min_gap=3.875, max_acc=2.000, max_dec=1.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.6763
2025-01-14 14:22:38,066 - INFO - Combination: min_gap=3.875, max_acc=2.000, max_dec=1.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=1.2569
2025-01-14 14:22:59,566 - INFO - Combination: min_gap=5.000, max_acc=2.000, max_dec=1.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.3362
2025-01-14 14:23:06,101 - INFO - Combination: min_gap=3.875, max_acc=2.000, max_dec=1.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.3427
2025-01-14 14:23:06,976 - INFO - Combination: min_gap=5.000, max_acc=2.000, max_dec=1.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.3914
2025-01-14 14:23:11,539 - INFO - Combination: min_gap=5.000, max_acc=2.000, max_dec=1.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.9558
2025-01-14 14:23:16,385 - INFO - Combination: min_gap=0.500, max_acc=2.000, max_dec=2.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.0548
2025-01-14 14:23:21,987 - INFO - Combination: min_gap=0.500, max_acc=2.000, max_dec=2.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.2745
2025-01-14 14:23:23,711 - INFO - Combination: min_gap=5.000, max_acc=2.000, max_dec=1.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=1.3406
2025-01-14 14:23:29,013 - INFO - Combination: min_gap=0.500, max_acc=2.000, max_dec=2.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.3870
2025-01-14 14:23:36,150 - INFO - Combination: min_gap=0.500, max_acc=2.000, max_dec=2.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=0.7504
2025-01-14 14:23:38,796 - INFO - Combination: min_gap=5.000, max_acc=2.000, max_dec=1.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.4062
2025-01-14 14:23:40,432 - INFO - Combination: min_gap=1.625, max_acc=2.000, max_dec=2.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.0807
2025-01-14 14:23:44,646 - INFO - Combination: min_gap=1.625, max_acc=2.000, max_dec=2.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.3139
2025-01-14 14:23:45,993 - INFO - Combination: min_gap=0.500, max_acc=2.000, max_dec=2.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.1266
2025-01-14 14:23:57,500 - INFO - Combination: min_gap=1.625, max_acc=2.000, max_dec=2.000, react_time=1.150, desired_speed=8.330, delta=2, average_metric=0.4945
2025-01-14 14:24:00,941 - INFO - Combination: min_gap=1.625, max_acc=2.000, max_dec=2.000, react_time=1.575, desired_speed=8.330, delta=2, average_metric=0.9273
2025-01-14 14:24:37,589 - INFO - Combination: min_gap=1.625, max_acc=2.000, max_dec=2.000, react_time=2.000, desired_speed=8.330, delta=2, average_metric=1.2764
2025-01-14 14:24:38,951 - INFO - Combination: min_gap=2.750, max_acc=2.000, max_dec=2.000, react_time=0.300, desired_speed=8.330, delta=2, average_metric=0.1999
2025-01-14 14:24:47,817 - INFO - Combination: min_gap=2.750, max_acc=2.000, max_dec=2.000, react_time=0.725, desired_speed=8.330, delta=2, average_metric=0.3222
